conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,video,complejo,evasion_pred_count,evasion_real_count,evasion_real,evasion_pred,case1_count,case2_count
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118054821-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120175301-12.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118060627-01.mkv,NO,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181023070154-02.mkv,NO,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119180120-00.mkv,YES,3,3,SI,SI,0,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118165812-03.mkv,NO,7,6,SI,SI,0,7
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118060613-01.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181023105701-00.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118115020-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120192300-03.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118060613-04.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019160306-00.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118130246-03.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118220353-00.mkv,NO,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024044652-01.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118182755-01.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024063514-00.mkv,YES,7,6,SI,SI,0,7
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119174321-06.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118133847-03.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120175301-10.mkv,NO,2,3,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118173422-02.mkv,NO,5,4,SI,SI,2,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019193929-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120133926-00.mkv,NO,5,6,SI,SI,0,5
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019064200-03.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181023094445-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181020215451-00.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118184542-08.mkv,NO,0,2,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019064200-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119181919-00.mkv,NO,2,2,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118075516-01.mkv,NO,3,3,SI,SI,2,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118192142-10.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024140738-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118062436-02.mkv,NO,2,1,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118130246-00.mkv,NO,3,1,SI,SI,1,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120190501-06.mkv,NO,4,4,SI,SI,1,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024183846-01.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118133847-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019193929-02.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181020193056-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118184542-07.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120133926-05.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022200756-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118171618-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120190501-09.mkv,YES,9,10,SI,SI,0,9
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181020194855-01.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118120820-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118182809-15.mkv,YES,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019103718-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118141458-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022140651-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118195754-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118190343-08.mkv,NO,0,3,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181025085121-00.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181119114129-03.mkv,YES,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120124510-01.mkv,NO,0,2,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022110554-00.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019124403-03.mkv,NO,3,3,SI,SI,1,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120184700-08.mkv,YES,3,2,SI,SI,2,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118054821-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019111329-03.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118203354-04.mkv,NO,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118160343-03.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119123606-01.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181121065255-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024172641-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019105530-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120113303-01.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181023071952-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118171605-12.mkv,NO,3,3,SI,SI,0,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118124447-02.mkv,YES,0,3,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019160302-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119174321-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118075506-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181023175312-01.mkv,NO,3,2,SI,SI,0,3
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019103718-02.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119052140-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181024161417-01.mkv,NO,1,2,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120113303-00.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019071815-00.mkv,YES,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118163954-01.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181119123547-02.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118182809-02.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120075535-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118132058-02.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022134845-00.mkv,NO,2,2,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118060613-03.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022200756-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181022181948-01.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118203354-05.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118073640-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019060549-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118051222-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118081251-00.mkv,NO,0,4,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119134810-03.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118162149-11.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118060613-05.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120181100-02.mkv,YES,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118190343-06.mkv,NO,0,1,SI,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118205155-01.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019105530-01.mkv,NO,0,0,NO,NO,0,0
