config,n_videos,total_real,total_pred,TP,FP,FN,TN,precision,recall,f1,accuracy,mae,pct_exact,pct_error_le1,img_path
1,300,351,341,286,55,65,82,0.8387096774193549,0.8148148148148148,0.8265895953757225,0.7540983606557377,0.4,67.66666666666666,94.0,config_1\confusion_matrix_config_1.png
2,300,351,324,281,43,70,84,0.8672839506172839,0.8005698005698005,0.8325925925925926,0.7635983263598326,0.37666666666666665,69.33333333333334,95.0,config_2\confusion_matrix_config_2.png
3,300,351,348,292,56,59,80,0.8390804597701149,0.8319088319088319,0.8354792560801144,0.7638603696098563,0.38333333333333336,68.33333333333333,95.0,config_3\confusion_matrix_config_3.png
4,300,351,331,285,46,66,83,0.8610271903323263,0.811965811965812,0.8357771260997068,0.7666666666666667,0.37333333333333335,70.0,94.33333333333334,config_4\confusion_matrix_config_4.png
5,300,351,378,284,94,67,74,0.7513227513227513,0.8091168091168092,0.7791495198902606,0.6897880539499036,0.5366666666666666,60.66666666666667,89.66666666666666,config_5\confusion_matrix_config_5.png
6,300,351,336,271,65,80,77,0.8065476190476191,0.7720797720797721,0.7889374090247452,0.7058823529411765,0.48333333333333334,61.66666666666667,93.0,config_6\confusion_matrix_config_6.png
7,300,351,402,295,107,56,76,0.7338308457711443,0.8404558404558404,0.7835325365205843,0.6947565543071161,0.5433333333333333,61.33333333333333,89.33333333333333,config_7\confusion_matrix_config_7.png
8,300,351,363,285,78,66,76,0.7851239669421488,0.811965811965812,0.7983193277310925,0.7148514851485148,0.48,61.66666666666667,93.0,config_8\confusion_matrix_config_8.png
9,300,351,386,293,93,58,72,0.7590673575129534,0.8347578347578347,0.7951153324287654,0.7073643410852714,0.5033333333333333,61.33333333333333,91.33333333333333,config_9\confusion_matrix_config_9.png
10,300,351,365,291,74,60,74,0.7972602739726027,0.8290598290598291,0.8128491620111732,0.7314629258517034,0.44666666666666666,62.66666666666667,93.66666666666667,config_10\confusion_matrix_config_10.png
11,300,351,411,299,112,52,73,0.7274939172749392,0.8518518518518519,0.784776902887139,0.6940298507462687,0.5466666666666666,59.66666666666667,90.0,config_11\confusion_matrix_config_11.png
12,300,351,379,297,82,54,76,0.783641160949868,0.8461538461538461,0.8136986301369863,0.7328094302554028,0.4533333333333333,63.33333333333333,92.66666666666666,config_12\confusion_matrix_config_12.png
13,300,351,357,283,74,68,78,0.7927170868347339,0.8062678062678063,0.7994350282485875,0.7176938369781312,0.47333333333333333,61.33333333333333,93.0,config_13\confusion_matrix_config_13.png
14,300,351,332,275,57,76,83,0.8283132530120482,0.7834757834757835,0.8052708638360174,0.7291242362525459,0.44333333333333336,65.0,93.66666666666667,config_14\confusion_matrix_config_14.png
15,300,351,296,274,22,77,88,0.9256756756756757,0.7806267806267806,0.846986089644513,0.7852494577006508,0.33,73.0,95.66666666666667,config_15\confusion_matrix_config_15.png
16,300,351,251,241,10,110,93,0.9601593625498008,0.6866096866096866,0.8006644518272426,0.73568281938326,0.4,71.66666666666667,91.66666666666666,config_16\confusion_matrix_config_16.png
17,300,351,247,225,22,126,88,0.9109311740890689,0.6410256410256411,0.7525083612040134,0.6789587852494577,0.49333333333333335,68.0,89.0,config_17\confusion_matrix_config_17.png
18,300,351,300,260,40,91,84,0.8666666666666667,0.7407407407407407,0.7987711213517664,0.7242105263157895,0.43666666666666665,66.33333333333333,92.0,config_18\confusion_matrix_config_18.png
19,300,351,375,289,86,62,81,0.7706666666666667,0.8233618233618234,0.7961432506887054,0.7142857142857143,0.49333333333333335,67.0,90.33333333333333,config_19\confusion_matrix_config_19.png
20,300,351,367,290,77,61,81,0.7901907356948229,0.8262108262108262,0.807799442896936,0.7288801571709234,0.46,68.0,91.33333333333333,config_20\confusion_matrix_config_20.png
21,300,351,280,257,23,94,88,0.9178571428571428,0.7321937321937322,0.8145800316957209,0.7467532467532467,0.39,70.33333333333334,93.0,config_21\confusion_matrix_config_21.png
22,300,351,264,250,14,101,88,0.946969696969697,0.7122507122507122,0.8130081300813008,0.7461368653421634,0.38333333333333336,71.33333333333334,93.0,config_22\confusion_matrix_config_22.png
23,300,351,351,271,80,80,76,0.7720797720797721,0.7720797720797721,0.7720797720797721,0.6844181459566075,0.5333333333333333,61.0,91.0,config_23\confusion_matrix_config_23.png
24,300,351,339,268,71,83,79,0.7905604719764012,0.7635327635327636,0.7768115942028986,0.6926147704590818,0.5133333333333333,62.0,91.66666666666666,config_24\confusion_matrix_config_24.png
25,300,351,359,292,67,59,79,0.8133704735376045,0.8319088319088319,0.8225352112676055,0.7464788732394366,0.42,67.0,93.0,config_25\confusion_matrix_config_25.png
26,300,351,326,283,43,68,82,0.8680981595092024,0.8062678062678063,0.8360413589364845,0.7668067226890757,0.37,69.33333333333334,94.66666666666667,config_26\confusion_matrix_config_26.png
27,300,351,278,247,31,104,82,0.8884892086330936,0.7037037037037037,0.7853736089030208,0.709051724137931,0.45,65.66666666666666,94.0,config_27\confusion_matrix_config_27.png
28,300,351,271,246,25,105,84,0.9077490774907749,0.7008547008547008,0.7909967845659165,0.717391304347826,0.43333333333333335,67.0,93.66666666666667,config_28\confusion_matrix_config_28.png
29,300,351,294,272,22,79,91,0.9251700680272109,0.7749287749287749,0.8434108527131782,0.7823275862068966,0.33666666666666667,73.0,94.33333333333334,config_29\confusion_matrix_config_29.png
30,300,351,291,273,18,78,90,0.9381443298969072,0.7777777777777778,0.850467289719626,0.7908496732026143,0.32,75.33333333333333,94.0,config_30\confusion_matrix_config_30.png
31,300,351,317,278,39,73,85,0.8769716088328076,0.792022792022792,0.8323353293413174,0.7642105263157895,0.37333333333333335,71.66666666666667,93.66666666666667,config_31\confusion_matrix_config_31.png
32,300,351,297,269,28,82,85,0.9057239057239057,0.7663817663817664,0.8302469135802468,0.7629310344827587,0.36666666666666664,71.66666666666667,94.0,config_32\confusion_matrix_config_32.png
33,300,351,325,283,42,68,85,0.8707692307692307,0.8062678062678063,0.8372781065088758,0.7698744769874477,0.36666666666666664,73.0,93.66666666666667,config_33\confusion_matrix_config_33.png
34,300,351,305,274,31,77,87,0.898360655737705,0.7806267806267806,0.8353658536585364,0.7697228144989339,0.36,72.66666666666667,93.66666666666667,config_34\confusion_matrix_config_34.png
35,300,351,386,300,86,51,76,0.7772020725388601,0.8547008547008547,0.8141112618724559,0.732943469785575,0.45666666666666667,68.66666666666667,90.66666666666666,config_35\confusion_matrix_config_35.png
36,300,351,350,292,58,59,81,0.8342857142857143,0.8319088319088319,0.833095577746077,0.7612244897959184,0.39,70.66666666666667,92.66666666666666,config_36\confusion_matrix_config_36.png
37,300,351,405,303,102,48,77,0.7481481481481481,0.8632478632478633,0.8015873015873016,0.7169811320754716,0.5,66.66666666666666,88.66666666666667,config_37\confusion_matrix_config_37.png
38,300,351,371,299,72,52,77,0.8059299191374663,0.8518518518518519,0.8282548476454294,0.752,0.41333333333333333,70.0,92.0,config_38\confusion_matrix_config_38.png
39,300,351,250,236,14,115,91,0.944,0.6723646723646723,0.7853577371048253,0.7171052631578947,0.43,70.33333333333334,91.33333333333333,config_39\confusion_matrix_config_39.png
40,300,351,203,196,7,155,95,0.9655172413793104,0.5584045584045584,0.7075812274368231,0.6423841059602649,0.54,65.33333333333333,88.33333333333333,config_40\confusion_matrix_config_40.png
